80330270668.17052,
79741665082.9226,
79194870611.75945,
78658119926.9327,
78123605697.18463,
77603097344.10558,
77088116657.93875,
76575868086.57722,
76070032715.13345,
75559609303.27484,
75052133972.88834,
74568785819.23244,
74070011217.51329,
73584745374.28305,
73093079619.46715,
72617408338.65147,
72144055355.22818,
71659262236.06543,
71181891828.90132,
70713618641.46324,
71706331904.80794
